company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty Cổ Phần Trung Tâm Hàn Việt,"Lô B2-4-2A, KCN Nam Thăng Long, P. Thụy Phương, Q. Bắc Từ Liêm,","Con Lăn Công Nghiệp__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Vách Ngăn - Cung Cấp Và Thi Công__Băng Keo Chịu Nhiệt, Chống Nước, Chống Tĩnh Điện,..__Băng Tải - Các Công Ty Băng Tải__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Băng Tải Nhựa - Băng tải PVC, PU, PE,..__Vải Chống Tĩnh Điện__Xe Đẩy Hàng, Xe Kéo Hàng",www.kvc.com.vn,'0988658986__02437809007',Lê Thị Thu Ngọc,,,Giám Đốc,info@kvc.com.vn,https://www.yellowpages.vn/lgs/1187726277/cong-ty-co-phan-trung-tam-han-viet.html
Công Ty TNHH Logiform,"Lô D-7K-CN, KCN Mỹ Phước 3, P. Thới Hòa, TX. Bến Cát,","Con Lăn Công Nghiệp__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Băng Tải Con Lăn__ống Nối, Khớp nối Kim Loại",www.hbjoint.com,'02742220421',Văn phòng,,,,hbl@hbjoint.com,https://www.yellowpages.vn/lgs/1187723457/cong-ty-tnhh-logiform.html
Băng Tải Tiến Thành - Công Ty TNHH Vật Tư Công Nghiệp Tiến Thành,"Tổ 21, Bãi Lư Xá, P. Thanh Trì, Q. Hoàng Mai,",Con Lăn Công Nghiệp__Băng Tải - Các Công Ty Băng Tải__Băng Tải Cao Su__Băng Tải - Thiết Bị và Phụ Kiện__Băng Tải - Sửa Chữa và Bảo Dưỡng,www.bangtaitienthanh.com,'0969625926__0975296999__0963183826',Ms. Thu,,female,,bangtaitienthanh@gmail.com,https://www.yellowpages.vn/lgs/1187828154/bang-tai-tien-thanh-cong-ty-tnhh-vat-tu-cong-nghiep-tien-thanh.html
RULO Tiến Phát - Công Ty TNHH Thương Mại Và Sản Xuất Cơ Khí Tiến Phát,"Thôn Trai Túc, X. Trưng Trắc, H. Văn Lâm,","Con Lăn Công Nghiệp__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Bánh Xe Cao Su, Bánh Xe Chịu Lực__Gioăng Cao Su, Phớt Cao Su__Trục, Rulo Cao Su",www.caosutienphat.com,'0913441611__0903556882',Mr. Bảy,X,male,Hotline,tienphatrubber@gmail.com,https://www.yellowpages.vn/lgs/1187782218/rulo-tien-phat-cong-ty-tnhh-thuong-mai-va-san-xuat-co-khi-tien-phat.html
Công Ty TNHH Anh Minh,"Khu CN SHINEC, Kiền Bái, Thủy Nguyên,","Con Lăn Công Nghiệp__Bánh Răng (Bánh Răng Trụ, Côn, Xoắn,..)__Van Nước__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)__Máy Bơm Công Nghiệp__Bếp Gas (Đơn, Đôi, Hồng Ngoại, Âm) - Bán Buôn và Bán Lẻ Bếp Gas",,'0936906626__02253645338',Hotline,X,,,ducanhminhtnhp@gmail.com,https://www.yellowpages.vn/lgs/1187806566/cong-ty-tnhh-anh-minh.html
Công Ty Cổ Phần Phát Triển Công Nghiệp Hưng Yên,"Liên Phương, Tp. Hưng Yên,","Con Lăn Công Nghiệp__Kết Cấu Thép - Thiết kế, Gia Công Và Sản Xuất Kết Cấu Thép__Cơ Khí -  Gia Công và Chế Tạo",,'02213869869',,,,,,https://www.yellowpages.vn/lgs/1187742936/cong-ty-co-phan-phat-trien-cong-nghiep-hung-yen.html
Công Ty TNHH Sản Xuất Máy và Vật Tư Thiết Bị Mỏ MKC Việt Nam,"Số 15, Ngách 74/13, Ngõ Thịnh Hào 1, Đường Tôn Đức Thắng, P. Hàng Bột, Q. Đống Đa,","Con Lăn Công Nghiệp__Mỏ - Máy Móc và Thiết Bị__Máy Sàng Rung__Máy Tuyển Từ & Máy Móc, Thiết bị Nam Châm (Bộ Lọc Sắt, Rulô Từ,.)",www.maythietbimo.com.vn,'0903100782__02436842888__0888558992',Ông Mai Kim Cương,,male,,info@mkcvietnam.com.vn,https://www.yellowpages.vn/lgs/1187811285/cong-ty-tnhh-san-xuat-may-va-vat-tu-thiet-bi-mo-mkc-viet-nam.html
Băng Tải Phong Nguyên - Chi Nhánh Công Ty TNHH Băng Tải Công Nghiệp Phong Nguyên,"Số 23A/11, Đường Đông Nhì, KP. Đông Nhì, P.Lái Thiêu, TX. Dĩ An,",Con Lăn Công Nghiệp__Băng Tải Con Lăn__Băng Tải - Các Công Ty Băng Tải__Băng Tải - Thiết Bị và Phụ Kiện,www.bangtaiphongnguyen.com,'0987496011',Ms. Thắm,,female,,bangtaiphongnguyen@gmail.com,https://www.yellowpages.vn/lgs/1187850273/bang-tai-phong-nguyen-chi-nhanh-cong-ty-tnhh-bang-tai-cong-nghiep-phong-nguyen.html
Công Ty TNHH Thiết Bị Và Giải Pháp Logistic Draysap,"Số 4, Lô 2, KCN Lai Xá, X. Kim Chung, H. Hoài Đức,",Con Lăn Công Nghiệp__Cơ Khí -  Gia Công và Chế Tạo__Băng Tải - Các Công Ty Băng Tải__Băng Tải Con Lăn,www.draysap.vn,'02439388823__0969228689',Trần Cao Khánh,,,Tồng Giám Đốc,khanhtrc@draysap.vn,https://www.yellowpages.vn/lgs/1187755218/cong-ty-tnhh-thiet-bi-va-giai-phap-logistic-draysap.html
Nhôm Định Hình Minh Long,"Tp. Hà Nội,","Con Lăn Công Nghiệp__Nhôm Định Hình, Thanh Nhôm Định Hình__Phụ Kiện Nhôm Kính__ống Kim Loại (ống Kẽm, ống Gang,..Vật Tư Ngành Nước)",www.nhomgiare.net__www.nhomdinhhinh.net,'0968626561',Mr. Long,,male,Giám đốc,minhlongbg92@gmail.com,https://www.yellowpages.vn/lgs/1187868204/nhom-dinh-hinh-minh-long.html
