company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Cầu Trục Và Cổng Trục Thánh Khởi - Công Ty TNHH Cơ Khí Cầu Trục Thánh Khởi,"Cụm CN Văn An 1, 350 Đường Lê Thánh Tông, P. Văn An, TP. Chí Linh,","Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Pa Lăng Xích__Thiết Bị Nâng Hạ__Pa Lăng Cáp__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Thiết Bị Nâng Hạ - Phụ Tùng Thiết Bị Nâng Hạ",www.cautructhanhkhoi.bizz.vn,'02203583194__0904382236',Bà Chu Thị Yến,,female,Nhân viên,chu.yenhhh@gmail.com,https://www.yellowpages.vn/lgs/718083/cau-truc-va-cong-truc-thanh-khoi-cong-ty-tnhh-co-khi-cau-truc-thanh-khoi.html
Cầu Trục C.F.C - Công Ty TNHH Cơ Khí Cầu Trục C.F.C,"629/10 Nguyễn Đình Chiểu, F2, Q. 3","Thiết Bị Nâng Hạ__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Sàn Nâng Tự Động, Sàn Nâng Thủy Lực - Dock Leveler",www.cfccranes.com,'0838888928__02822007539__0913894876',Hotline,X,,,info.cautruccfc@gmail.com,https://www.yellowpages.vn/lgs/711255/cau-truc-c.f.c-cong-ty-tnhh-co-khi-cau-truc-c.f.c.html
Cầu Trục Cổng Trục Top Crane - Công Ty TNHH Top Crane,"Đường Trường Chinh, Tổ 26A, Khu Phước Hải, TT Long Thành, H. Long Thành","Thiết Bị Nâng Hạ__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.toptskorea.com,'0907504790',Hotline,X,,,toptskorea@gmail.com,https://www.yellowpages.vn/lgs/1187891382/cau-truc-cong-truc-top-crane-cong-ty-tnhh-top-crane.html
Cơ Khí Công Nghiệp Miền Nam - Công Ty TNHH Kỹ Thuật Cơ Khí Công Nghiệp Miền Nam,"29 Trần Thủ Độ, P. Phú Thạnh, Q. Tân Phú,","Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Thiết Bị Nâng Hạ__Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Thiết Bị Nâng Hạ - Phụ Tùng Thiết Bị Nâng Hạ",www.imecomiennam.com,'0933844209__02863647340',Mr. Doãn,,male,Giám Đốc,info@imecomiennam.com,https://www.yellowpages.vn/lgs/1187822274/co-khi-cong-nghiep-mien-nam-cong-ty-tnhh-ky-thuat-co-khi-cong-nghiep-mien-nam.html
Cầu Trục & Kết Cấu Thép Bigger - Công Ty TNHH CN Xây Dựng Bigger,"Số Nhà 3, Ngách 195/2 Đường Phúc Lợi, Tổ 4, P. Phúc Lợi, Q. Long Biên,","Kết Cấu Thép - Thiết kế, Gia Công Và Sản Xuất Kết Cấu Thép__Pa Lăng Xích__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Nhà Xưởng, Nhà Công Nghiệp - Thi Công Nhà Xưởng, Nhà Công Nghiệp__Thiết Bị Nâng Hạ__Pa Lăng Cáp__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..",www.bigger.com.vn,'0935233868__0984826686',Mr. Trần Duy Phú,,male,,bigger.info84@gmail.com,https://www.yellowpages.vn/lgs/1187754348/cau-truc---ket-cau-thep-bigger-cong-ty-tnhh-cn-xay-dung-bigger.html
Cầu Trục Hữu Mậu - Công Ty TNHH Cơ Khí Hữu Mậu,"Số 5B, Vsip II A, Đường Số 30, KCN VN-Singapore  II-A, P. Vĩnh Tân, TX. Tân Uyên,","Thiết Bị Nâng Hạ__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.yiomau-mechanical.com,'02743759622__0918509770__0908446388__0274375962224',Hotline,X,,,sales-vn@yiomau.com.tw,https://www.yellowpages.vn/lgs/693159/cau-truc-huu-mau-cong-ty-tnhh-co-khi-huu-mau.html
Thiết Bị Nâng Hạ Sakura - Công Ty TNHH Thiết Bị Công Nghiệp Và Dịch Vụ Sakura,"Số 4, Ngách 2, Đường Liên Thôn Thôn Trên, Xã Bích Hòa, H. Thanh Oai,","Pa Lăng Xích__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Thiết Bị Nâng Hạ__Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng Cáp__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Thiết Bị Nâng Hạ - Phụ Tùng Thiết Bị Nâng Hạ",www.congtycautruc.com,'0918560729__0946130868',Mr. Đoan,,male,Giám Đốc KD,cautrucsakura@gmail.com,https://www.yellowpages.vn/lgs/1187878965/thiet-bi-nang-ha-sakura-cong-ty-tnhh-thiet-bi-cong-nghiep-va-dich-vu-sakura.html
Thiết Bị Nâng Hạ Đồng An - Công Ty TNHH Máy Và Thiết Bị Đồng An,"584/52 Phạm Văn Chiêu, P. 16, Q. Gò Vấp,","Thiết Bị Nâng Hạ__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.donganmachine.com,'02862954373__0903948494',Mr. Hà,,male,,dongan@donganmachine.com,https://www.yellowpages.vn/lgs/688419/thiet-bi-nang-ha-dong-an-cong-ty-tnhh-may-va-thiet-bi-dong-an.html
Công Ty Cổ Phần Tập Đoàn Công Nghiệp Quang Trung,"VPĐD Tại Hà Nội: Lô 33, Biệt Thự 4, Bán Đảo Linh Đàm, Hoàng Mai,","Cầu Đường - Nhà Thầu Cầu Đường__Kết Cấu Thép - Thiết kế, Gia Công Và Sản Xuất Kết Cấu Thép__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Đèn LED__Nhà Xưởng, Nhà Công Nghiệp - Thi Công Nhà Xưởng, Nhà Công Nghiệp__Thiết Bị Nâng Hạ__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)__Máy Bơm, Máy Bơm Nước - Công Ty Sản Xuất và Phân Phối",www.tapdoanquangtrung.com__www.nhamaythietbinangha.com,'0379645086',Mrs. Mơ,,,TP. Marketing,tapdoanquangtrunggroup@gmail.com,https://www.yellowpages.vn/lgs/733581/cong-ty-co-phan-tap-doan-cong-nghiep-quang-trung.html
Cầu Trục Đệ Nhất - Công Ty TNHH Cầu Trục Và Thang Máy Đệ Nhất,"8/13 Đường Số 5, KP. 8, P. Bình Hưng Hòa, Q. Bình Tân,","Thiết Bị Nâng Hạ__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.cautrucdenhat.com,'0908552399',Ông Nguyễn Lộc Thường,,male,,thuongcrane@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187736693/cau-truc-de-nhat-cong-ty-tnhh-cau-truc-va-thang-may-de-nhat.html
Công Ty TNHH Cơ Khí Nam Việt,"363/12 Bình Lợi, P. 13, Q. Bình Thạnh,","Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.cautrucnamviet.com.vn,'0913036936__02835540566',Mr. Bùi Văn Hoài,,male,,hoaitrung@cautrucnamviet.com.vn,https://www.yellowpages.vn/lgs/989718/cong-ty-tnhh-co-khi-nam-viet.html
Công Ty Cổ Phần Cầu Trục Và Thiết Bị AVC,"Đường 206, X. Lạc Hồng, H. Văn Lâm,","Thiết Bị Nâng Hạ__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.avc-crane.com,'02213980410__0915306566',Hotline,X,,,info@avc-crane.com,https://www.yellowpages.vn/lgs/1304343/cong-ty-co-phan-cau-truc-va-thiet-bi-avc.html
Công Ty CP Kết Cấu Thép Và Thiết Bị Nâng Việt Nam,"Lô A1, KCN Phúc Điền, Cẩm Điền, H. Cẩm Giàng,","Thiết Bị Nâng Hạ__Kết Cấu Thép - Thiết kế, Gia Công Và Sản Xuất Kết Cấu Thép__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Công Nghiệp - Máy Móc Và Thiết Bị Công Nghiệp",www.vinalift.vn,'022036419469__0944883359',Mr. Toàn,,male,Phòng Marketing,toanvinalift@gmail.com,https://www.yellowpages.vn/lgs/1288281/cong-ty-cp-ket-cau-thep-va-thiet-bi-nang-viet-nam.html
Cơ Khí Anh Tuấn - Công Ty TNHH TMDV Xây Dựng Cơ Khí Thiết Bị Nâng Anh Tuấn,"Lô LA7, KCN Xuyên Á, X. Mỹ Hạnh Bắc, H. Đức Hòa,","Cơ Khí -  Gia Công và Chế Tạo__Bê Tông - Máy Móc và Thiết Bị__Cốp Pha Thép, Khuôn Đúc Bê Tông__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Khuôn Bê Tông Ly Tâm (cọc, ống cống, hàng rào,..)__Cơ Khí - Chế Tạo Máy",www.cautrucanhtuan.com,'0903738803__02723751682',Mr .Trần Văn Tuấn,,male,,cautrucanhtuan@gmail.com,https://www.yellowpages.vn/lgs/1229907/co-khi-anh-tuan-cong-ty-tnhh-tmdv-xay-dung-co-khi-thiet-bi-nang-anh-tuan.html
Kết Cấu Thép  TechOne - Công Ty Cổ Phần Nhà Thép TechOne,"CCN Dốc Sặt, P. Trang Hạ, TX. Từ Sơn,","Kết Cấu Thép - Thiết kế, Gia Công Và Sản Xuất Kết Cấu Thép__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Nhà Thép Tiền Chế",www.nhathep.vn__www.nhathep.net,'02223831069__0988893888__0938888338',Mr.Hùng,,male,,lehongsteel@gmail.com,https://www.yellowpages.vn/lgs/1187799978/ket-cau-thep--techone-cong-ty-co-phan-nha-thep-techone.html
Thiết Bị Nâng Hạ Đức Phát - Công Ty CP Đầu Tư Và Phát Triển Công Nghiệp Đức Phát,"Tầng 5, Tòa Nhà 92-94 Triệu Việt Vương, P. Bùi Thị Xuân, Q. Hai Bà Trưng,","Thang Máy Tải Hàng, Thang Máy Tải Thực Phẩm__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Pa Lăng Xích__Thiết Bị Nâng Hạ__Thang Cuốn, Cầu Thang Máy__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Thang Máy Tải Khách, Thang Máy Gia Đình__Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp",www.ducphatcrane.com__www.thegioihangcongnghiep.vn,'0913303766__0936254288',Hotline,X,,,ducphatdpid@gmail.com,https://www.yellowpages.vn/lgs/1187778417/thiet-bi-nang-ha-duc-phat-cong-ty-cp-dau-tu-va-phat-trien-cong-nghiep-duc-phat.html
Công Ty TNHH Thương Mại Hoàng Dung,"Số 1, TTCK Hồng Nam, Trần Phú, Hoàng Mai,","Thiết Bị Nâng Hạ__Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.cautruc.net.vn,'02438629354__0914685868__0982890088',Hotline,X,,,cautruc.hd@gmail.com,https://www.yellowpages.vn/lgs/1187770500/cong-ty-tnhh-thuong-mai-hoang-dung.html
Cơ Khí Xây Dựng Hương Minh - Công Ty TNHH Thương Mại Dịch Vụ Hương Minh,"Thôn 9, Thanh Bình, X. Thanh Sơn, H. Tĩnh Gia,","Kết Cấu Thép - Thiết kế, Gia Công Và Sản Xuất Kết Cấu Thép__Nhà Xưởng, Nhà Công Nghiệp - Thi Công Nhà Xưởng, Nhà Công Nghiệp__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Nhà Thép Tiền Chế__Vật Liệu Xây Dựng__Cơ Khí Xây Dựng (Vì Kèo Thép, Nhà Khung Thép, Kết Cấu Nhà Xưởng,..)",,'0989177781__0911222551',Ông Chúc Kim Dị,,male,,huongminhsteel@gmail.com,https://www.yellowpages.vn/lgs/1187747595/co-khi-xay-dung-huong-minh-cong-ty-tnhh-thuong-mai-dich-vu-huong-minh.html
Máy Móc Bê Tông Địa Phong - Công Ty Cổ Phần Thiết Bị Địa Phong,"01/21B, KP. Tân Long, P. Tân Đông Hiệp, TX. Dĩ An,","Bê Tông - Máy Móc và Thiết Bị__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Bê Tông (Cọc, ống Cống, Dầm,.) - Công Ty Sản Xuất và Cung Cấp__Trạm Trộn Bê Tông & Thiết Bị Phụ Trợ__Cọc Bê Tông Ly Tâm",www.thietbidiaphong.com,'0785160185__0903111047',Mr. Điện,,male,,vandien@thietbidiaphong.com,https://www.yellowpages.vn/lgs/1187802993/may-moc-be-tong-dia-phong-cong-ty-co-phan-thiet-bi-dia-phong.html
Cơ Khí Đại Thiên Phước - Công Ty TNHH Thương Mại Cơ Khí Đại Thiên Phước,"110/26 - 110/28 Ông Ích Khiêm, P. 5, Q. 11,","Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Nhà Thép Tiền Chế__Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Cơ Khí Xây Dựng (Vì Kèo Thép, Nhà Khung Thép, Kết Cấu Nhà Xưởng,..)__Băng Tải - Các Công Ty Băng Tải__Thang Máy - Công Ty Thang Máy, Sản Xuất Và Lắp Đặt Thang Máy__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..",www.daithienphuoc.com,'0971486068',Hotline,X,,,daithienphuocgroup@gmail.com,https://www.yellowpages.vn/lgs/1187816487/co-khi-dai-thien-phuoc-cong-ty-tnhh-thuong-mai-co-khi-dai-thien-phuoc.html
Công Ty TNHH Thiết Bị Công Nghiệp N.A.G.O.Y.A,"24-26 Đường 9A, KDC Trung Sơn, X. Bình Hưng, H. Bình Chánh,","Thiết Bị Nâng Hàng( Xe Nâng, Lồng Thép, Thùng Nhựa,..)__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.nagoyamachinery.com,'02854319555',Văn Phòng,,,,nagoyahcm@sptfone.vn,https://www.yellowpages.vn/lgs/1187859885/cong-ty-tnhh-thiet-bi-cong-nghiep-n.a.g.o.y.a.html
Công Ty CP Cơ Khí Công Nghiệp Toàn Cầu,"467/8/8 Tân Sơn, P. 12, Q. Gò Vấp,","Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.gimscompany.com,'02838107639',Hotline,X,,,info@gimscompany.com,https://www.yellowpages.vn/lgs/1187756589/cong-ty-cp-co-khi-cong-nghiep-toan-cau.html
ETD CRANE - Công Ty TNHH Phát Triển Kỹ Thuật Năng Lượng,"29B2 Khu 918, P. Phúc Đồng, Q. Long Biên,","Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.etdcrane.com.vn__www.etd-crane.com,'02438759294__0902578688',Mr. Hòa,,male,Giám Đốc,Etdcrane@gmail.com,https://www.yellowpages.vn/lgs/1306863/etd-crane-cong-ty-tnhh-phat-trien-ky-thuat-nang-luong.html
Công Ty TNHH Cơ Khí Nam Sài Gòn,"224 Bùi Minh Trực, P. 5, Q. 8,","Thiết Bị Nâng Hạ__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.nasago.com.vn,'0909119930__02862632009',Mr. Vinh,,male,,,https://www.yellowpages.vn/lgs/1187685657/cong-ty-tnhh-co-khi-nam-sai-gon.html
Công Ty TNHH Tập Đoàn Bamboo,"Bạch Sam, H. Mỹ Hào,","Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.thietbiht.vn,'0981717668__02213766269',Mr Thắng,,male,NV Kinh Doanh,thangdv103@gmail.com,https://www.yellowpages.vn/lgs/1187767920/cong-ty-tnhh-tap-doan-bamboo.html
Công Ty CP Thiết Bị Song Long,"86 Phan Trọng Tuệ, H. Thanh Trì,","Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..",www.thietbisonglong.com,'0904151110__02436471782',Mr. Hùng,,male,Giám Đốc,songlong.jsc@gmail.com,https://www.yellowpages.vn/lgs/1187775585/cong-ty-cp-thiet-bi-song-long.html
Công Ty TNHH Cơ Khí Hoài Đức,"42/11 Xa Lộ Hà Nội, KP. Ngãi Thắng, P. Bình Thắng, TX. Dĩ An,","Cơ Khí -  Gia Công và Chế Tạo__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Khuôn Mẫu",www.cokhihoaiduc.com,'0903954046__0908070992',Hotline,X,,,dunghoaiduc@gmail.com,https://www.yellowpages.vn/lgs/3749670/cong-ty-tnhh-co-khi-hoai-duc.html
Công Ty TNHH Kỹ Thuật Và Thương Mại OCT,"A04-6, Chung Cư Bộ KHĐT, P. Quan Hoa, Q. Cầu Giấy,","Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Thiết Bị Nâng Hạ__Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng Chống Cháy Nổ__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Thiết Bị Nâng Hạ - Phụ Tùng Thiết Bị Nâng Hạ",www.oct.com.vn,'02437915073__0904698186',Mr. Nam,,male,,ltnam.oct@gmail.com,https://www.yellowpages.vn/lgs/1187688126/cong-ty-tnhh-ky-thuat-va-thuong-mai-oct.html
